,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
0,0.0,70490327.0,TX2305,Davon,Dog,Adult,Male,Large,https://www.petfinder.com/dog/davon-70490327/or/woodburn/throw-a-dog-a-bone-dog-rescue-tx2305/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Woodburn, OR, 97071, US
1,1.0,70490328.0,MO486,Mack,Dog,Adult,Female,Extra Large,https://www.petfinder.com/dog/mack-70490328/mo/st-louis/wonder-weims-rescue-mo486/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, St. Louis, MO, 63129, US
2,2.0,70490326.0,MI812,Lahni! DNA tested! ,Dog,Adult,Female,Large,https://www.petfinder.com/dog/lahni-dna-tested-70490326/mi/eastpointe/misfit-angels-dog-rescue-mi812/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Eastpointe, MI, 48021, US
3,3.0,70490283.0,MS214,Jughead Jones,Dog,Baby,Male,Large,https://www.petfinder.com/dog/jughead-jones-70490283/ms/baldwyn/jericho-rescued-fur-babies-ms214/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Baldwyn, MS, 38824, US
4,4.0,70490324.0,AZ57,Mona,Dog,Young,Female,Large,https://www.petfinder.com/dog/mona-70490324/nm/albuquerque/blackhat-humane-society-az57/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Albuquerque, NM, 87107, US
6,6.0,70490322.0,WA02,Lilith,Cat,Young,Female,Medium,https://www.petfinder.com/cat/lilith-70490322/wa/pasco/pet-over-population-prevention-popp-wa02/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Waxhaw, NC, 28173, US
7,7.0,70490321.0,NC516,Toby,Dog,Adult,Male,Large,https://www.petfinder.com/dog/toby-70490321/nc/waxhaw/carolina-pet-adoption-and-welfare-society-paws-nc516/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Inglewood, CA, 90301, US
8,8.0,70490319.0,CA1750,Angelica Litter,Dog,Baby,Male,Small,https://www.petfinder.com/dog/angelica-litter-70490319/ca/inglewood/the-lovejoy-foundation-inc-dot-facility-clubhouse-ca1750/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Memphis, TN, 38119, US
9,9.0,70490318.0,TN147,Dot,Cat,Young,Female,Medium,https://www.petfinder.com/cat/dot-70490318/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Citrus Heights, CA, 95610, US
10,10.0,70490315.0,CA2373,Diamond,Dog,Young,Female,Small,https://www.petfinder.com/dog/diamond-70490315/ca/citrus-heights/norcal-bully-breed-rescue-ca2373/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Humble, TX, 77396, US
11,11.0,70490316.0,TX2584,Ollie,Dog,Baby,Male,Large,https://www.petfinder.com/dog/ollie-70490316/tx/humble/rescue-texas-tx2584/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Mansfield Center, CT, 06250, US
12,12.0,70490314.0,CT142,Marshall ,Dog,Young,Male,Large,https://www.petfinder.com/dog/marshall-70490314/ct/mansfield-center/cats-northeast-inc-ct142/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Mesa, AZ, 85206, US
13,13.0,70490313.0,CA2686,Bobbi,Dog,Baby,Female,Large,https://www.petfinder.com/dog/bobbi-70490313/az/mesa/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Marietta, GA, 30008, US
16,16.0,70490309.0,GA50,SHILOH,Dog,Adult,Male,Extra Large,https://www.petfinder.com/dog/shiloh-70490309/ga/marietta/friends-of-shelter-animals-for-cobb-county-ga50/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Memphis, TN, 38119, US
18,18.0,70490305.0,QC41,Lolo et Ludwig,Cat,Baby,Male,Medium,https://www.petfinder.com/cat/lolo-et-ludwig-70490305/qc/sainte-angele-de-monnoir/spca-monteregie-qc41/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Oroville, WA, 98844, US
19,19.0,70490301.0,CA2686,Dolly,Dog,Baby,Female,Large,https://www.petfinder.com/dog/dolly-70490301/ca/rancho-cucamonga/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Memphis, TN, 38119, US
20,20.0,70490300.0,TN147,Yoshi,Cat,Young,Male,Medium,https://www.petfinder.com/cat/yoshi-70490300/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Georgetown, TX, 78626, US
22,22.0,70490295.0,WA02,Leia,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/leia-70490295/wa/pasco/pet-over-population-prevention-popp-wa02/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Georgetown, TX, 78626, US
23,23.0,70490293.0,WA727,Lucky,Dog,Young,Male,Large,https://www.petfinder.com/dog/lucky-70490293/wa/oroville/fur-ever-yours-dog-rescue-wa727/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Houston, TX, 77035, US
25,25.0,70490287.0,TN147,Miss Kitty,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/miss-kitty-70490287/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, North York, ON, M6A 2G4, CA
26,26.0,70490284.0,TX993,Alani,Cat,Young,Female,Small,https://www.petfinder.com/cat/alani-70490284/tx/georgetown/williamson-county-regional-animal-shelter-tx993/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, San Luis Obispo, CA, 93401, US
27,27.0,70490280.0,CA2686,Patsy,Dog,Baby,Female,Large,https://www.petfinder.com/dog/patsy-70490280/ca/fontana/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Pass Christian, MS, 39571, US
30,30.0,70490273.0,TX993,Andre,Cat,Young,Male,Small,https://www.petfinder.com/cat/andre-70490273/tx/georgetown/williamson-county-regional-animal-shelter-tx993/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Oak Creek, WI, 53154, US
31,31.0,70488477.0,TX2467,Pepsi,Dog,Adult,Female,Large,https://www.petfinder.com/dog/pepsi-70488477/tx/houston/waiting-under-the-willow-foundation-wuwf-rescue-tx2467/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Breese, IL, 62230, US
32,32.0,70490271.0,GA50,TULLY,Dog,Young,Male,Small,https://www.petfinder.com/dog/tully-70490271/ga/marietta/friends-of-shelter-animals-for-cobb-county-ga50/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, El Cajon, CA, 92020, US
33,33.0,70490268.0,ON580,Rina,Dog,Adult,Female,Small,https://www.petfinder.com/dog/rina-70490268/on/north-york/house-of-poochie-on580/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Stockton, CA, 95209, US
34,34.0,70490263.0,CA2686,Shania ,Dog,Baby,Female,Large,https://www.petfinder.com/dog/shania-70490263/ca/san-luis-obispo/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Kansas City, MO, 64111, US
35,35.0,70490262.0,MS231,Amos,Dog,Adult,Male,Small,https://www.petfinder.com/dog/amos-70490262/ms/pass-christian/animal-a-dot-id-of-ms-ms231/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Fresno, CA, 93706, US
37,37.0,70490254.0,CA2686,Shania,Dog,Baby,Female,Large,https://www.petfinder.com/dog/shania-70490254/ca/anaheim/alljoy4paws-inc-ca2686/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Owen Sound, ON, N4K 5N5, CA
38,38.0,70490250.0,TN147,Taylor & Swift,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/taylor-and-swift-70490250/tn/memphis/mewtopia-cat-rescue-tn147/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Temple, TX, 76502, US
39,39.0,70490248.0,KY519,Glitter in Wisconsin,Dog,Baby,Female,Large,https://www.petfinder.com/dog/glitter-in-wisconsin-70490248/wi/oak-creek/little-hills-of-kentucky-animal-rescue-inc-ky519/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Breese, IL, 62230, US
40,40.0,70490180.0,IL559,Alayna,Cat,Baby,Female,Medium,https://www.petfinder.com/cat/alayna-70490180/il/breese/clinton-county-humane-society-il559/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Fairview Heights, IL, 62208, US
41,41.0,70490179.0,CA2903,Spacey ,Dog,Baby,Male,Medium,https://www.petfinder.com/dog/spacey-70490179/ca/el-cajon/kanes-k9s-and-animal-rescue-ca2903/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Temple, TX, 76502, US
42,42.0,70490178.0,CA2599,Poppy,Dog,Baby,Female,Small,https://www.petfinder.com/dog/poppy-70490178/ca/stockton/finding-a-best-friend-rescue-ca2599/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Erie, PA, 16509, US
43,43.0,70490177.0,MO122,Tiara ,Dog,Adult,Female,Large,https://www.petfinder.com/dog/tiara-70490177/mo/kansas-city/missouri-pit-bull-rescue-mo122/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Auburn, WA, 98001, US
44,44.0,70490174.0,CA2390,Glitter,Dog,Baby,Female,Small,https://www.petfinder.com/dog/glitter-70490174/ca/fresno/fresno-humane-animal-services-ca2390/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Tulsa, OK, 74112, US
45,45.0,70490175.0,CA2390,Oswald,Dog,Adult,Male,Large,https://www.petfinder.com/dog/oswald-70490175/ca/fresno/fresno-humane-animal-services-ca2390/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Baldwinsville, NY, 13027, US
46,46.0,70490173.0,ON648,Mac,Dog,Adult,Male,Small,https://www.petfinder.com/dog/mac-70490173/on/owen-sound/second-chance-animal-sanctuary-and-rescue-on648/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Kansas City, MO, 64111, US
47,47.0,70490168.0,TX2579,Henry,Dog,Adult,Male,Large,https://www.petfinder.com/dog/henry-70490168/tx/temple/pearls-place-tx2579/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Breese, IL, 62230, US
48,48.0,70490167.0,IL559,Daffodil ,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/daffodil-70490167/il/breese/clinton-county-humane-society-il559/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Omaha, NE, 68130, US
49,49.0,70490166.0,IL507,Rusty,Cat,Baby,Male,Small,https://www.petfinder.com/cat/rusty-70490166/il/fairview-heights/animal-rescue-of-southern-illinois-il507/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Farmington, MN, 55024, US
50,50.0,70490165.0,TX2579,Maude,Dog,Senior,Female,Large,https://www.petfinder.com/dog/maude-70490165/tx/temple/pearls-place-tx2579/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, O Fallon, IL, 62269, US
51,51.0,70490161.0,PA1015,George,Cat,Young,Male,Medium,https://www.petfinder.com/cat/george-70490161/pa/erie/erie-animal-network-pa1015/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Hopkinton, MA, 01748, US
52,53.0,70490158.0,TX2305,Miney,Dog,Baby,Female,Medium,https://www.petfinder.com/dog/miney-70490158/wa/auburn/throw-a-dog-a-bone-dog-rescue-tx2305/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Temple, TX, 76502, US
53,54.0,70490157.0,OK401,Chester,Cat,Young,Male,Medium,https://www.petfinder.com/cat/chester-70490157/ok/tulsa/animal-aid-of-tulsa-inc-ok401/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Grants Pass, OR, 97526, US
54,55.0,70490156.0,NY712,MO/Daisy Jane,Dog,Baby,Female,Medium,https://www.petfinder.com/dog/mo-daisy-jane-70490156/ny/baldwinsville/national-brittany-rescue-and-adoption-network-ny712/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Hopkinton, MA, 01748, US
55,56.0,70490155.0,MO122,Elsa of Arendelle,Dog,Adult,Female,Large,https://www.petfinder.com/dog/elsa-of-arendelle-70490155/mo/kansas-city/missouri-pit-bull-rescue-mo122/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Kansas City, MO, 64111, US
56,57.0,70490137.0,IL559,Eve,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/eve-70490137/il/breese/clinton-county-humane-society-il559/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Fairview Heights, IL, 62208, US
57,58.0,70490134.0,NE152,Ash,Cat,Baby,Male,Medium,https://www.petfinder.com/cat/ash-70490134/ne/omaha/nala-rescue-nebraskas-animal-loving-advocates-ne152/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Temple, TX, 76502, US
58,60.0,70486410.0,MN17,Kirby,Dog,Young,Male,Small,https://www.petfinder.com/dog/kirby-70486410/mn/farmington/last-hope-inc-mn17/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Athens, TN, 37303, US
59,61.0,70490128.0,IL885,Bones,Dog,Young,Male,Large,https://www.petfinder.com/dog/bones-70490128/il/o-fallon/once-upon-a-prayer-il885/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Athens, TN, 37303, US
60,62.0,70490127.0,MA515,Yuri & HomeLander,Cat,Baby,Female,Medium,https://www.petfinder.com/cat/yuri-and-homelander-70490127/ma/hopkinton/brown-dog-coalition-and-rescue-ltd-ma515/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Athens, TN, 37303, US
61,63.0,70490126.0,TX2579,Apollo,Dog,Adult,Male,Large,https://www.petfinder.com/dog/apollo-70490126/tx/temple/pearls-place-tx2579/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Athens, TN, 37303, US
62,65.0,70490124.0,OR138,Cupcake,Dog,Adult,Female,Large,https://www.petfinder.com/dog/cupcake-70490124/or/grants-pass/josephine-county-animal-shelter-or138/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Charlotte, NC, 28227, US
63,66.0,70490123.0,MA515,Maxia & Lexia,Cat,Baby,Female,Medium,https://www.petfinder.com/cat/maxia-and-lexia-70490123/ma/hopkinton/brown-dog-coalition-and-rescue-ltd-ma515/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
64,67.0,70490122.0,MO122,Dragonfruit ,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/dragonfruit-70490122/mo/kansas-city/missouri-pit-bull-rescue-mo122/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
65,68.0,70490120.0,IL507,Joseph,Cat,Baby,Male,Small,https://www.petfinder.com/cat/joseph-70490120/il/fairview-heights/animal-rescue-of-southern-illinois-il507/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
66,69.0,70490118.0,TX2579,Tucker,Dog,Adult,Male,Large,https://www.petfinder.com/dog/tucker-70490118/tx/temple/pearls-place-tx2579/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
67,70.0,70490117.0,TN325,Skye,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/skye-70490117/tn/athens/mcminn-regional-humane-society-tn325/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
68,71.0,70490116.0,TN325,Venus,Cat,Young,Female,Medium,https://www.petfinder.com/cat/venus-70490116/tn/athens/mcminn-regional-humane-society-tn325/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
69,72.0,70490115.0,TN325,Zaylee,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/zaylee-70490115/tn/athens/mcminn-regional-humane-society-tn325/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
70,73.0,70490114.0,TN325,Daffodil,Cat,Young,Female,Medium,https://www.petfinder.com/cat/daffodil-70490114/tn/athens/mcminn-regional-humane-society-tn325/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Montreal, QC, H4P 1X4, CA
71,74.0,70490113.0,NC941,Maddie,Cat,Young,Female,Medium,https://www.petfinder.com/cat/maddie-70490113/nc/charlotte/kitty-angels-rescue-nc941/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, San Francisco, CA, 94141, US
72,75.0,70490112.0,QC06,Bear,Dog,Young,Male,Large,https://www.petfinder.com/dog/bear-70490112/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Mary Esther, FL, 32569, US
73,76.0,70490108.0,QC06,Lyona,Cat,Young,Female,Medium,https://www.petfinder.com/cat/lyona-70490108/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Lakeland, FL, 33813, US
74,77.0,70490109.0,QC06,Stuart,Dog,Baby,Male,Medium,https://www.petfinder.com/dog/stuart-70490109/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Lakeland, FL, 33813, US
75,78.0,70490110.0,QC06,Rolo,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/rolo-70490110/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Lakeland, FL, 33813, US
76,79.0,70490111.0,QC06,Stella,Cat,Young,Female,Medium,https://www.petfinder.com/cat/stella-70490111/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Milpitas, CA, 95035, US
77,80.0,70490107.0,QC06,Jumper,Dog,Adult,Male,Large,https://www.petfinder.com/dog/jumper-70490107/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Milpitas, CA, 95035, US
78,81.0,70490104.0,QC06,Calvin,Dog,Young,Male,Large,https://www.petfinder.com/dog/calvin-70490104/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Milpitas, CA, 95035, US
79,82.0,70490105.0,QC06,Evie,Cat,Young,Female,Medium,https://www.petfinder.com/cat/evie-70490105/qc/montreal/spca-montreal-qc06/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Milpitas, CA, 95035, US
80,84.0,70490103.0,CA1061,Baylor,Cat,Young,Male,Small,https://www.petfinder.com/cat/baylor-70490103/ca/san-francisco/give-me-shelter-cat-rescue-ca1061/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Milpitas, CA, 95035, US
81,85.0,70490102.0,FL599,Gus,Dog,Young,Male,Small,https://www.petfinder.com/dog/gus-70490102/fl/mary-esther/save-underdogs-fl599/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Milpitas, CA, 95035, US
82,86.0,70490099.0,FL221,Little Fella,Cat,Baby,Male,Small,https://www.petfinder.com/cat/little-fella-70490099/fl/lakeland/spca-florida-fl221/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Visalia, CA, 93277, US
83,87.0,70490100.0,FL221,Muffin,Cat,Baby,Female,Small,https://www.petfinder.com/cat/muffin-70490100/fl/lakeland/spca-florida-fl221/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Visalia, CA, 93277, US
