,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
1016,1053.0,70488727.0,FL273,MATILDA,Dog,Baby,Female,Small,https://www.petfinder.com/dog/matilda-70488727/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, houston, TX, 77066, US
1017,1054.0,70488728.0,FL273,KENA,Dog,Young,Female,Small,https://www.petfinder.com/dog/kena-70488728/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Perry, IA, 50220, US
1018,1055.0,70488729.0,FL273,DIFFERENT,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/different-70488729/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, houston, TX, 77066, US
1019,1056.0,70488730.0,FL273,STARLET,Dog,Young,Female,Large,https://www.petfinder.com/dog/starlet-70488730/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, houston, TX, 77066, US
1020,1057.0,70488731.0,FL273,CONNOR,Cat,Adult,Male,Medium,https://www.petfinder.com/cat/connor-70488731/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Bell Gardens, CA, 90201, US
1021,1058.0,70488732.0,FL273,ROCCO,Dog,Young,Male,Medium,https://www.petfinder.com/dog/rocco-70488732/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Buffalo, NY, 14203, US
1022,1059.0,70488733.0,FL273,JADE,Dog,Young,Female,Small,https://www.petfinder.com/dog/jade-70488733/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, houston, TX, 77066, US
1023,1060.0,70488734.0,FL273,BUDDY,Dog,Baby,Male,Small,https://www.petfinder.com/dog/buddy-70488734/fl/jacksonville/animal-care-and-protective-services-fl273/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Carthage, IL, 62321, US
1024,1061.0,70488718.0,CA1164,Symphony,Dog,Young,Female,Medium,https://www.petfinder.com/dog/symphony-70488718/ca/monterey/the-spca-for-monterey-county-ca1164/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Holdenville, OK, 74848, US
1025,1062.0,70488717.0,CA1727,Pencil,Dog,Baby,Male,Small,https://www.petfinder.com/dog/pencil-70488717/ca/kingsburg/pawsitive-connections-ca1727/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Woodmere, NY, 11598, US
1026,1063.0,70488716.0,IN427,phoenix,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/phoenix-70488716/in/marion/marion-animal-care-and-control-in427/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, houston, TX, 77066, US
1027,1064.0,70488715.0,FL464,Brody,Dog,Baby,Male,Large,https://www.petfinder.com/dog/brody-70488715/sc/abbeville/second-chance-rescue-fl464/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Rocklin , CA, 95677, US
