,id,organization_id,name,type,age,gender,size,city,state,url
212,70489845.0,CA440,Kenzo,Dog,Young,Male,Medium, Tavares, FL,https://www.petfinder.com/dog/kenzo-70489845/ca/novato/marin-humane-society-ca440/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
213,70489846.0,CA440,Lebron,Cat,Young,Male,Small, Fredericksburg, VA,https://www.petfinder.com/cat/lebron-70489846/ca/novato/marin-humane-society-ca440/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
214,70489847.0,CA440,Juniper,Dog,Young,Female,Small, Murfreesboro, TN,https://www.petfinder.com/dog/juniper-70489847/ca/novato/marin-humane-society-ca440/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
215,70489830.0,FL367,Beans,Dog,Adult,Male,Large, Clyde, NC,https://www.petfinder.com/dog/beans-70489830/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
216,70489826.0,FL367,Fargo,Cat,Adult,Male,Small, Clyde, NC,https://www.petfinder.com/cat/fargo-70489826/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
217,70489829.0,FL367,Gabe,Dog,Adult,Male,Medium, Clyde, NC,https://www.petfinder.com/dog/gabe-70489829/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
218,70489824.0,FL367,Olivia,Dog,Senior,Female,Medium, Clyde, NC,https://www.petfinder.com/dog/olivia-70489824/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
219,70489823.0,FL367,Kash,Dog,Adult,Male,Medium, Austin, TX,https://www.petfinder.com/dog/kash-70489823/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
220,70489825.0,FL367,Palmer,Dog,Adult,Male,Medium, Marion, IL,https://www.petfinder.com/dog/palmer-70489825/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
221,70489822.0,FL367,Jet,Cat,Adult,Female,Small, Marion, IL,https://www.petfinder.com/cat/jet-70489822/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
222,70489821.0,FL367,Mammy,Dog,Adult,Female,Medium, Marion, IL,https://www.petfinder.com/dog/mammy-70489821/fl/largo/pinellas-county-animal-services-fl367/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
223,70489815.0,TN25,Athena,Cat,Young,Female,Small, Marion, IL,https://www.petfinder.com/cat/athena-70489815/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
224,70489816.0,TN25,Bobbie,Cat,Young,Female,Small, Clyde, NC,https://www.petfinder.com/cat/bobbie-70489816/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
225,70489817.0,TN25,Jasper,Dog,Adult,Male,Medium, Rowland Heights, CA,https://www.petfinder.com/dog/jasper-70489817/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
