,id,organization_id,state,name,type,age,gender,size,url
223,70489815,TN25,TN,Athena,Cat,Young,Female,Small,https://www.petfinder.com/cat/athena-70489815/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
224,70489816,TN25,TN,Bobbie,Cat,Young,Female,Small,https://www.petfinder.com/cat/bobbie-70489816/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
225,70489817,TN25,TN,Jasper,Dog,Adult,Male,Medium,https://www.petfinder.com/dog/jasper-70489817/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
226,70489819,TN25,TN,Alex,Dog,Adult,Female,Small,https://www.petfinder.com/dog/alex-70489819/tn/chattanooga/humane-educational-society-of-chattanooga-tn-tn25/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
227,70489814,CA2713,CA,KEIRA,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/keira-70489814/ca/rowland-heights/vida-rescue-ca2713/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
228,70489812,FL1626,FL,Cookie,Cat,Baby,Female,Small,https://www.petfinder.com/cat/cookie-70489812/fl/tavares/hoffmeyer-animal-rescue-fl1626/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
229,70489806,VA629,VA,Peeta,Dog,Adult,Male,Small,https://www.petfinder.com/dog/peeta-70489806/va/fredericksburg/old-dominion-humane-society-va629/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
230,70489811,TN807,TN,Juju,Cat,Baby,Female,Small,https://www.petfinder.com/cat/juju-70489811/tn/murfreesboro/rutherford-county-cat-rescue-tn807/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
231,70489807,NC1192,NC,Sophie,Dog,Adult,Female,Medium,https://www.petfinder.com/dog/sophie-70489807/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
232,70489805,NC1192,NC,Novak,Dog,Adult,Male,Large,https://www.petfinder.com/dog/novak-70489805/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
